Website,Property_Title,Rent,Description
Housing,2 BHK Flat for rent in New Town,"₹27,000",Highlights: 24x7 Security  •  Close to Mall  •  Community Hall  •  Lift
Housing,2.5 BHK Flat for rent in New Town,"₹25,000",Highlights: Lift  •  Community Hall  •  Gymnasium  •  Power Backup
Housing,2 BHK Flat for rent in New Town,"₹22,000",Highlights: Badminton Court  •  Gated Community  •  Tennis Court  •  Volleyball Court
Housing,2 BHK Flat for rent in New Town,"₹16,000",Amenities: Lift  •  Water Supply
Housing,2.5 BHK Flat for rent in New Town,"₹28,000",Highlights: 24x7 Security  •  Community Hall  •  Swimming Pool  •  Tennis Court
Housing,2 BHK Flat for rent in New Town,"₹14,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹23,000",Highlights: 24x7 Security  •  24 Hours Concierge  •  Close to ATM  •  Close to Bus Stop
Housing,2 BHK Flat for rent in New Town,"₹24,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹25,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹26,000",Nearby: Devaki Memorial School- 2.6 km  •  Lotus Hospital- 4 km  •  Convention Centre Metro Station- 3 km  •  Moghul E Azam Restaurant- 2...  •  + More
Housing,2.5 BHK Flat for rent in New Town,"₹23,000",Highlights: Close to Bus Stop  •  Close to Mall  •  Close to Hospital  •  Close to Airport
Housing,2 BHK Flat for rent in New Town,"₹21,000",Highlights: 24x7 Security  •  Children Play Area  •  Community Hall  •  Gymnasium
Housing,2 BHK Flat for rent in New Town,"₹23,000",Highlights: 24x7 Security  •  Lift  •  Close to Mall  •  Close to Bus Stop
Housing,2 BHK Flat for rent in New Town,"₹30,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹20,000",Highlights: 24x7 Security  •  Close to Bus Stop  •  Close to Grocery Stores  •  Close to Mall
Housing,2 BHK Flat for rent in New Town,"₹20,000",Highlights: 24x7 Security  •  Close to Bus Stop  •  Close to Grocery Stores  •  Close to ATM
Housing,2 BHK Flat for rent in New Town,"₹25,500",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹28,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹24,000",Highlights: 24x7 Security  •  Gated Community  •  Swimming Pool  •  Close to Airport
Housing,2 BHK Flat for rent in New Town,"₹27,000",Highlights: Gated Community  •  Indoor Game Room  •  Gymnasium  •  Landscaped Garden
Housing,2 BHK Independent House for rent in New Town,"₹13,500",Highlights: Close to ATM  •  Close to Bus Stop  •  Close to Mall  •  Close to Grocery Stores
Housing,2 BHK Flat for rent in New Town,"₹13,000",Highlights: 24x7 Security  •  Close to Airport  •  Close to ATM  •  Close to Bus Stop
Housing,2 BHK Flat for rent in New Town,"₹13,000",Amenities: Parking
Housing,2.5 BHK Flat for rent in New Town,"₹22,500",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹30,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹13,000",Amenities: Gym  •  Lift  •  Power Backup  •  Pet Allowed
Housing,2 BHK Flat for rent in New Town,"₹27,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹14,500",Amenities: Gym  •  Lift  •  Power Backup  •  Pet Allowed
Housing,2 BHK Flat for rent in New Town,"₹15,000",Amenities: Parking
Housing,2 BHK Flat for rent in New Town,"₹22,000",Amenities: Pool  •  Gym  •  Lift  •  Parking
MagicBricks,"2 BHK Apartment for Rent in Curio City, New Town Kolkata","₹23,000","find this 2 bhk apartment for rent in new town, kolkata east. This 2 bhk apartment in realtech nirman curio city is situated in kolkata east. This property offers access to nearby landmarks and is close to school, close to hospital and close to market. Property has attached 2 bathrooms 1 balcony with 2 rooms set in 900 sq.Ft. Carpet area. The flat is built on 900 sq.Ft. Area. Ease of access to 1 open parking within society. This flat is situated at 1st in a tower with 5 floors. This is a 01 year old society. This property is furnished. Equipped with 4 light, 3 fan, 2 ac, 1 tv, 2 bed, etc"
MagicBricks,"2 BHK Apartment for Rent in Shrachi Greenwood Nest, Action Area 1A Kolkata","₹25,000","Shrachi Greenwood Nest New Town has 8 towers, with 12 floors each and 491 units on offer.Spread over an area of 4.45 acres, Shrachi Greenwood Nest is one of the spacious housing societies in the Kolkata East region. With all the basic amenities available, Shrachi Greenwood Nest fits into your budget and your lifestyle.New Town has good connectivity to some of the important areas in the proximity such as New Town bus stand, Delhi Public School and Eco Park and so on. The monthly maintenance is Rs 2/-."
MagicBricks,"2 BHK Apartment for Rent in Shapoorji Paloonji Sukhobristi, New Town Kolkata","₹17,000",2 BHK k 47 6 floor not facing new condition full furniture furniture new condition font site 2 BHK for rent 17000 call me details.
MagicBricks,"2 BHK Apartment for Rent in Jain Dream One, New Town Kolkata","₹26,000","2 BHK, Multistorey Apartment is available for Rent in New Town, Kolkata for 26,000"
MagicBricks,"2 BHK Apartment for Rent in Shrachi Greenwood Elements, Action Area 2 Kolkata","₹28,000","A spacious 2 bhk flat for rent is available in new town in shrachi greenwood elements, kolkata east. This flat consists of 2 bedrooms, 2 bathrooms 1 balcony with 1 parking. It is a almost furnished property. This flat has all latest feature like reserved parking, intercom facility and power backUp. Society provides modern lifestyle facilities like swimming pool, fitness centre gym, club house community center, park, lifts, security personnel and maintenance staff."
MagicBricks,"2 BHK Apartment for Rent in Ambey Regent, New Town Kolkata","₹16,000",2 BHK premium flat available at New Town near Eco park.
MagicBricks,"2 BHK Apartment for Rent in Sunny Fort, Action Area 2 Kolkata","₹25,000",the flat is very much airy full of light. it is in a very good complex with all the modern amenities. The monthly maintenance is Rs 3000/-.
MagicBricks,2 BHK Apartment for Rent in Action Area 3 Kolkata,"₹14,000",land marks SBI ATM in the society main gate
MagicBricks,"2 BHK Apartment for Rent in The Banyan The Sky Garden, New Town Kolkata","₹16,000",Spacious 2BHK apartment on the 6th floor available for rent in a newly built complex with a sky garden at Chinar Park. Just 10 minutes from City Centre 2 and easily accessible from Noapara. The modern complex offers a peaceful environment with excellent amenities. Ideal for families or professionals looking for a well-connected yet serene living space. Contact for more details The monthly maintenance is Rs 1/-.
MagicBricks,"2 BHK Apartment for Rent in Ambuja Ujjwala The Condoville, New Town Kolkata","₹22,000",2bhk fully furnished rental flat available at ujjala complex contact for more information. The monthly maintenance is Rs 1/-.
MagicBricks,"2 BHK Apartment for Rent in Ambuja Ujjwala The Condoville, New Town Kolkata","₹14,000",2BHK apartment available for rent in a very affordable price with all modern amenities at ujjwala apartment.
MagicBricks,"2 BHK Apartment for Rent in TATA Avenida, New Town Kolkata","₹29,000",Its a premium 2 bhk semi furnished unit. The monthly maintenance is Rs 2000/-.
MagicBricks,2 BHK Apartment for Rent in DD Block Newtown Kolkata,"₹28,000","2 BHK, Multistorey Apartment is available for Rent in DD Block Newtown, Kolkata for 28,000"
MagicBricks,"2 BHK House for Rent in Sunrise Point, Action Area 2 Kolkata","₹20,000","Planning to experience a blissful lifestyle with your beloved family?? Then here is one such opportunity to make your desires come true. This elegantly crafted 2 BHK residential house is available on a monthly rental basis in Sunrise Point, Action Area 2, Kolkata.Property SpecificationsSituated away from the hustle-bustle of the city, this residence is truly a perfect home for a family who have planned to reside in Kolkata. Brilliantly raised over 14 exclusive floors, this one of its kind 2 BHK residential house is sited on the 6th floor.Overlooking the beautiful city, this exquisite north-east facing residential house faces the north-east direction. Designed to suit the living needs of family, this residential unit encompasses 2 fabulous bedrooms, 2 western themed bathrooms, spacious dining room cum hall, a balcony of 3feet by 11feet connected to the hall overlooks the city, and a sleek kitchen adorned with exhaust fan, washing machine, fridge, granite slab followed by the sink. Both the bedrooms are provided with comfy beds and are bedecked with trendy wardrobes. Of the 2 western bathrooms, one is connected to the bedroom while the other is for common use. The dining room has a dining table while the hall features a TV where you can spend your free time. Ceramic flooring is used to enhance the overall appeal of this abode.FacilitiesOne covered parking slot is available to place your vehicle. Round the clock water supply, DG set given as a power backup, 2 lifts, gymnasium, reserved parking, security, piped gas, jogging & strolling track are the other high end amenities provided to this society.LocalityThis well-planned residential society is located just 500m away from the Silicon Valley. Post office is easily accessible within just 200m from this project. Public transport facilities lie within the short distance, while an upcoming metro station is accessible within 500m to ensure smooth commuting.This government notified township is located close to the Rotary 6. Some of the prominent schools as well as the colleges are accessible within 2km radius. Apollo pharmacy, daily needs shop, and the medical shop are all situated within the society, which is the major benefit for the occupants living here. The very famous Charnock Hospital is situated within the periphery of 1.1km. City Center 2 Shopping Mall is situated within the short distance of 1km. Most of the well-known banks as well as the ATMs are situated within the short distance of 1km."
MagicBricks,2 BHK Apartment for Rent in Action Area 2 Kolkata,"₹19,000","2 BHK, Multistorey Apartment is available for Rent in Action Area 2, Kolkata for 19,000"
MagicBricks,2 BHK Apartment for Rent in Action Area 1 Kolkata,"₹23,000",Large 2 BHK flat converted from 3 BHK with Large lobby The monthly maintenance is Rs 2000/-.
