,Website,Property_Title,Rent,Description
0,Housing,2 BHK Independent House for rent in New Town,"₹13,500","Check this beautiful 2 BHK Independent House available for rent in Kolkata. Nestled at a prime location in New Town, it is an ideal home for those looking for a modern lifestyle. The Independent House is unfurnished, available for affordable rent. This 2 BHK unit is inside a gated society equipped with various amenities and ample greenery. The Independent House is thoughtfully designed to ensure a comfortab...more"
1,Housing,2 BHK Independent House for rent in New Town,"₹10,000","A spacious home designed for families aspiring for a modern lifestyle, this Independent House is available for affordable rent in Kolkata. It is a 2 BHK Independent House situated in New Town at a coveted location with well-developed infrastructure. This Independent House is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is unfurnish...more"
2,Housing,2 BHK Independent House for rent in New Town,"₹18,000",This is a well-designed 2 BHK Independent House available for rent. It is situated in a prime location of Kolkata at New Town. This modern Independent House is unfurnished. The 2 BHK unit fulfills all the needs of a modern lifestyle for families. The Independent House provides complete comfort for the residents. The Independent House lets you enjoy the lush greenery around. Meticulously designed to meet you...more
3,Housing,2 BHK Independent House for rent in New Town,"₹19,200","This is a modern and stylish home available for affordable rent in Kolkata. It is a 2 BHK Independent House situated at New Town. Designed to meet your lifestyle needs, the Independent House provides a range of modern amenities for the comfort of the residents. It is unfurnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The 2 BHK unit is elegantly designed to meet you...more"
4,Housing,2 BHK Independent House for rent in New Town,"₹14,000","2 rk available for Rent at Prime location Near galaxy Health centre 5 to 6 min walking distance from axis mall cal for more details  More About This Property Are you looking for an affordable Independent House for rent in Kolkata?. Here is a spacious 2 BHK Independent House in New Town, promising a comfortable lifestyle. The Independent House is semi furnished. This property is designed to suit your space n...more"
5,Housing,2 BHK Independent House for rent in New Town,"₹12,000","2bhk twelve thousand only location is new town jhil par & kestopur mission bazer near salt lake sector v & new town dlf one ten mins distance walkable.market, bus stand, toto,auto,hotel, bank, atm,school,zim,shopping mall are also available .location is very good. More About This Property Are you looking for an affordable Independent House for rent in Kolkata?. Here is a spacious 2 BHK Independent House in ...more"
6,Housing,2 BHK Independent House for rent in New Town,"₹15,000","Your search for a spacious home at affordable rent in Kolkata ends here. This 2 BHK Independent House in New Town is all that you have been looking for! Designed as North-East facing, the unit is compliant with Vastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Independent House is equipped with the latest lifestyle amenities and all the conveniences at t...more"
7,Housing,2 BHK Independent House for rent in New Town,"₹23,000","This is a modern and stylish home available for affordable rent in Kolkata. It is a 2 BHK Independent House situated at New Town. Designed to meet your lifestyle needs, the Independent House provides a range of modern amenities for the comfort of the residents. It is Fully Furnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The 2 BHK unit is elegantly designed to meet...more"
8,Housing,2 BHK Independent House for rent in New Town,"₹14,000","2 rk available for Rent at Prime location Near galaxy Health centre 5 to 6 min walking distance from axis mall cal for more details  More About This Property Are you looking for an affordable Independent House for rent in Kolkata?. Here is a spacious 2 BHK Independent House in New Town, promising a comfortable lifestyle. The Independent House is semi furnished. This property is designed to suit your space n...more"
9,Housing,2 BHK Independent House for rent in New Town,"₹15,000","Your search for a spacious home at affordable rent in Kolkata ends here. This 2 BHK Independent House in New Town is all that you have been looking for! Designed as North-East facing, the unit is compliant with Vastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Independent House is equipped with the latest lifestyle amenities and all the conveniences at t...more"
10,Housing,2 BHK Independent House for rent in New Town,"₹18,000",This is a well-designed 2 BHK Independent House available for rent. It is situated in a prime location of Kolkata at New Town. This modern Independent House is unfurnished. The 2 BHK unit fulfills all the needs of a modern lifestyle for families. The Independent House provides complete comfort for the residents. The Independent House lets you enjoy the lush greenery around. Meticulously designed to meet you...more
11,Housing,2 BHK Independent House for rent in New Town,"₹19,200","This is a modern and stylish home available for affordable rent in Kolkata. It is a 2 BHK Independent House situated at New Town. Designed to meet your lifestyle needs, the Independent House provides a range of modern amenities for the comfort of the residents. It is unfurnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The 2 BHK unit is elegantly designed to meet you...more"
12,Housing,2 BHK Independent House for rent in New Town,"₹10,000","A spacious home designed for families aspiring for a modern lifestyle, this Independent House is available for affordable rent in Kolkata. It is a 2 BHK Independent House situated in New Town at a coveted location with well-developed infrastructure. This Independent House is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is unfurnish...more"
